Horizon started successfully.
Horizon started successfully.
[2022-01-04 15:57:04][807ef9f8-e4d8-4606-b7f3-85b719f654b7] Processing: App\Mail\Admin\MonthStore
[2022-01-04 15:57:05][02f6e406-c3ab-4865-9917-12c0a9a0bb00] Processing: App\Mail\Admin\MonthStore
[2022-01-04 15:57:07][807ef9f8-e4d8-4606-b7f3-85b719f654b7] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 15:57:07][a3511f1a-bdd7-4702-a4f9-9a47ed873b6a] Processing: App\Mail\Admin\MonthStore
[2022-01-04 15:57:08][02f6e406-c3ab-4865-9917-12c0a9a0bb00] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 15:57:08][a0250ea6-817f-486b-9523-511cb1af3e86] Processing: App\Mail\Admin\MonthStore
[2022-01-04 15:57:09][a3511f1a-bdd7-4702-a4f9-9a47ed873b6a] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 15:57:09][38c7e9f0-7e86-465c-a792-507effe732c1] Processing: App\Mail\Admin\MonthStore
[2022-01-04 15:57:08][e655b110-c906-476b-a2fe-3f2664f3ca73] Processing: App\Mail\Admin\MonthStore
[2022-01-04 15:57:11][38c7e9f0-7e86-465c-a792-507effe732c1] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 15:57:11][31140787-ecc6-4175-95a4-066fd5b3b460] Processing: App\Mail\Admin\MonthStore
[2022-01-04 15:57:11][a0250ea6-817f-486b-9523-511cb1af3e86] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 15:57:11][8568aaea-cce0-47b6-b94e-a387a4d75aac] Processing: App\Mail\Admin\MonthStore
[2022-01-04 15:57:11][e655b110-c906-476b-a2fe-3f2664f3ca73] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 15:57:11][65014fc4-9ddc-4f20-a73a-b50feebb2693] Processing: App\Mail\Admin\MonthStore
[2022-01-04 15:57:13][31140787-ecc6-4175-95a4-066fd5b3b460] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 15:57:13][2b2e17f4-b694-4a51-9921-f4d43d998cef] Processing: App\Mail\Admin\MonthStore
[2022-01-04 15:57:13][8568aaea-cce0-47b6-b94e-a387a4d75aac] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 15:57:13][9664f05e-f687-497f-874b-251b37d74def] Processing: App\Mail\Admin\MonthStore
[2022-01-04 15:57:13][65014fc4-9ddc-4f20-a73a-b50feebb2693] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 15:57:14][9664f05e-f687-497f-874b-251b37d74def] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 15:57:15][2b2e17f4-b694-4a51-9921-f4d43d998cef] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:11:42][18c04525-5bbc-49a7-a002-298c11d57248] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:11:44][ba3fb29b-628f-4738-a12d-02022bb9cf30] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:11:45][18c04525-5bbc-49a7-a002-298c11d57248] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:11:45][d7cbe8b9-20c3-4851-9f4e-674dfa4daaaa] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:11:45][2da08645-5e2b-499c-87b8-3f247e101362] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:11:46][ba3fb29b-628f-4738-a12d-02022bb9cf30] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:11:46][d60049d0-8a9f-495c-bdd7-a5037a76ff1b] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:11:47][d7cbe8b9-20c3-4851-9f4e-674dfa4daaaa] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:11:47][f9e06fb5-6a8d-4ebd-8424-40aa9e4481e9] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:11:48][2da08645-5e2b-499c-87b8-3f247e101362] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:11:48][ecd7a2f0-31e2-40b7-b80c-55b4f443f491] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:11:48][d60049d0-8a9f-495c-bdd7-a5037a76ff1b] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:11:48][487bd03e-dc6e-4071-aa08-e6f1725ac618] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:11:49][f9e06fb5-6a8d-4ebd-8424-40aa9e4481e9] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:11:49][e2006ca5-39c6-446b-9a22-b948d32dcd2a] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:11:50][ecd7a2f0-31e2-40b7-b80c-55b4f443f491] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:11:50][b49ad555-38a0-4e80-aa74-cb730823052b] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:11:50][487bd03e-dc6e-4071-aa08-e6f1725ac618] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:11:50][7d84af9e-db86-448e-a953-bc7f877b3297] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:11:51][e2006ca5-39c6-446b-9a22-b948d32dcd2a] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:11:52][b49ad555-38a0-4e80-aa74-cb730823052b] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:11:52][7d84af9e-db86-448e-a953-bc7f877b3297] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:14:04][b2bfbe8f-8e36-4876-9138-5bf588105263] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:14:06][b2bfbe8f-8e36-4876-9138-5bf588105263] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:14:06][3be7e3df-f1eb-4648-b762-5b74ee0dcfda] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:14:06][067b6146-6d12-4f27-8258-00d1c9519488] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:14:08][3be7e3df-f1eb-4648-b762-5b74ee0dcfda] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:14:08][dfa2cdd0-9411-4ff7-aff1-5948d2e893c4] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:14:08][067b6146-6d12-4f27-8258-00d1c9519488] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:14:08][7d4276b6-4f74-4879-ad2c-f6e2fc0dc54d] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:14:09][3d7f817b-0a48-4c30-98fb-41ff80cf5b53] Processing: App\Mail\Admin\MonthStore
